#Trial FinalX FinalY Displacement
290 -4 14 14.56
291 3 29 29.15
292 6 -40 40.45
293 -17 59 61.40
294 -39 3 39.12
295 1 1 1.41
296 0 -14 14.00
297 -3 -13 13.34
298 -4 8 8.94
299 24 -22 32.56
300 -25 -29 38.29
301 0 6 6.00
302 -10 24 26.00
303 -11 -15 18.60
304 -4 36 36.22
305 15 -11 18.60
306 12 12 16.97
307 -8 32 32.98
308 0 -16 16.00
309 23 -3 23.19
310 1 -1 1.41
311 -32 0 32.00
312 12 -4 12.65
313 17 1 17.03
314 -19 5 19.65
315 -6 10 11.66
316 -15 -15 21.21
317 -20 10 22.36
318 25 -9 26.57
319 -10 -6 11.66
320 8 -4 8.94
321 10 32 33.53
322 -3 -13 13.34
323 24 -12 26.83
324 -13 3 13.34
325 5 -21 21.59
326 4 4 5.66
327 9 5 10.30
328 -4 2 4.47
329 45 -35 57.01
330 11 -37 38.60
331 -22 10 24.17
332 1 -27 27.02
333 -10 40 41.23
334 37 5 37.34
335 40 -14 42.38
336 -3 -9 9.49
337 14 10 17.20
338 -7 27 27.89
339 -9 -3 9.49
340 23 -31 38.60
341 -26 -12 28.64
342 -23 35 41.88
343 20 28 34.41
344 -23 15 27.46
345 51 7 51.48
346 -6 -16 17.09
347 -13 23 26.42
348 -37 -9 38.08
349 33 15 36.25
350 22 -44 49.19
351 2 -18 18.11
352 21 -29 35.81
353 28 -12 30.46
354 5 -1 5.10
355 8 18 19.70
356 51 33 60.75
357 0 12 12.00
358 4 -34 34.23
359 23 9 24.70
360 19 -7 20.25
361 -37 5 37.34
362 -16 24 28.84
363 32 12 34.18
364 -19 -1 19.03
365 15 47 49.34
366 16 24 28.84
367 -4 -8 8.94
368 27 11 29.15
369 -13 11 17.03
370 37 5 37.34
371 -25 -19 31.40
372 -19 25 31.40
373 2 4 4.47
374 27 -25 36.80
375 -6 -2 6.32
376 8 16 17.89
377 -35 33 48.10
378 -38 12 39.85
379 22 24 32.56
380 0 8 8.00
381 -24 10 26.00
382 -48 -6 48.37
383 18 -8 19.70
384 -7 3 7.62
385 -5 -9 10.30
386 -23 21 31.14
387 7 -61 61.40
388 33 35 48.10
389 -1 -5 5.10
390 23 -13 26.42
391 48 -2 48.04
392 -28 30 41.04
393 -11 -1 11.05
394 36 -18 40.25
395 -22 8 23.41
396 -2 -4 4.47
397 61 47 77.01
398 -15 19 24.21
399 -7 -19 20.25
400 -11 9 14.21
401 -34 -64 72.47
402 7 -21 22.14
403 -48 44 65.12
404 0 -40 40.00
405 -13 9 15.81
406 18 18 25.46
407 9 27 28.46
408 -14 -14 19.80
409 -11 -15 18.60
410 -38 18 42.05
411 12 20 23.32
412 5 -37 37.34
413 -5 23 23.54
414 13 23 26.42
415 12 -48 49.48
416 -8 -18 19.70
417 -25 15 29.15
418 2 10 10.20
419 26 10 27.86
420 15 37 39.92
421 -11 -89 89.68
422 23 9 24.70
423 1 -19 19.03
424 25 -25 35.36
425 -16 -16 22.63
426 8 -22 23.41
427 3 -3 4.24
428 7 -9 11.40
429 11 -5 12.08
430 32 22 38.83
431 -21 19 28.32
432 5 1 5.10
433 33 9 34.21
434 14 -6 15.23
435 3 -11 11.40
436 -24 16 28.84
437 -11 -3 11.40
438 31 23 38.60
439 16 -14 21.26
440 -59 -23 63.32
441 -21 23 31.14
442 11 -7 13.04
443 -12 2 12.17
444 40 6 40.45
445 -38 -18 42.05
446 11 1 11.05
447 22 30 37.20
448 -14 12 18.44
449 -51 9 51.79
450 -2 -16 16.12
451 2 -12 12.17
452 -5 31 31.40
453 29 33 43.93
454 -17 7 18.38
455 17 -13 21.40
456 4 -30 30.27
457 -5 13 13.93
458 10 26 27.86
459 -3 23 23.19
460 35 -13 37.34
461 -33 -3 33.14
462 19 -29 34.67
463 -37 -9 38.08
464 -46 -24 51.88
465 0 18 18.00
466 -2 -24 24.08
467 33 -39 51.09
468 8 -44 44.72
469 -20 18 26.91
470 -13 33 35.47
471 -3 -21 21.21
472 -2 20 20.10
473 19 -9 21.02
474 0 -66 66.00
475 -7 3 7.62
476 11 -17 20.25
477 21 29 35.81
478 6 -40 40.45
479 3 41 41.11
480 -6 40 40.45
481 -9 -17 19.24
482 2 -6 6.32
483 -19 5 19.65
484 -30 40 50.00
485 -19 21 28.32
486 -7 33 33.73
487 22 2 22.09
488 -18 26 31.62
489 -34 -18 38.47
490 -17 5 17.72
491 11 -5 12.08
492 5 -19 19.65
493 14 34 36.77
494 10 26 27.86
495 38 -22 43.91
496 -6 18 18.97
497 -5 -11 12.08
498 -16 -12 20.00
499 57 5 57.22
500 -51 -5 51.24
501 32 46 56.04
502 2 -28 28.07
503 11 -9 14.21
504 -12 -36 37.95
505 -9 -25 26.57
506 -22 50 54.63
507 -25 7 25.96
508 40 -4 40.20
509 -15 15 21.21
510 -21 -39 44.29
511 21 -23 31.14
512 -5 -7 8.60
513 4 20 20.40
514 -2 20 20.10
515 -22 2 22.09
516 -4 -6 7.21
517 -1 33 33.02
518 -11 -1 11.05
519 29 27 39.62
520 39 27 47.43
521 -11 39 40.52
522 8 16 17.89
523 48 2 48.04
524 17 -17 24.04
525 -2 -34 34.06
526 39 3 39.12
527 -1 -31 31.02
528 12 -22 25.06
529 4 12 12.65
530 -4 -16 16.49
531 6 54 54.33
532 57 9 57.71
533 13 -3 13.34
534 7 -7 9.90
535 -21 -9 22.85
536 2 -22 22.09
537 -32 16 35.78
538 -12 -6 13.42
539 -28 -26 38.21
540 -36 16 39.40
541 -39 -11 40.52
542 -14 -12 18.44
543 9 11 14.21
544 -30 -22 37.20
545 22 -24 32.56
546 45 -41 60.88
547 30 10 31.62
548 -15 -17 22.67
549 10 -6 11.66
550 -2 4 4.47
551 -20 28 34.41
552 -39 -21 44.29
553 -15 29 32.65
554 34 10 35.44
555 -18 -22 28.43
556 1 -13 13.04
557 0 2 2.00
558 -41 -17 44.38
559 -47 31 56.30
560 35 -1 35.01
561 22 10 24.17
562 -28 -14 31.30
563 -3 13 13.34
564 -1 -27 27.02
565 -23 13 26.42
566 -1 -3 3.16
567 55 5 55.23
568 -15 -11 18.60
569 29 -1 29.02
570 -2 -6 6.32
571 5 -23 23.54
572 -35 -11 36.69
573 36 -14 38.63
574 -20 36 41.18
575 -3 7 7.62
576 50 -2 50.04
577 20 6 20.88
578 -23 5 23.54
579 11 -1 11.05
580 5 -21 21.59
581 -28 -16 32.25
582 50 58 76.58
583 31 -15 34.44
584 17 -1 17.03
585 4 -6 7.21
586 -7 1 7.07
587 25 -13 28.18
588 16 -30 34.00
589 -52 22 56.46
590 3 -13 13.34
591 -4 14 14.56
592 20 -30 36.06
593 24 -6 24.74
594 9 19 21.02
595 18 -24 30.00
596 -26 -2 26.08
597 -5 35 35.36
598 23 -25 33.97
599 17 -17 24.04
600 3 -7 7.62
601 -4 -10 10.77
602 -3 -21 21.21
603 16 -14 21.26
604 22 12 25.06
605 1 9 9.06
606 35 11 36.69
607 -13 19 23.02
608 -43 17 46.24
609 14 6 15.23
610 -30 30 42.43
611 16 -30 34.00
612 -40 -10 41.23
613 -7 33 33.73
614 -7 35 35.69
615 -24 -14 27.78
616 17 -35 38.91
617 12 20 23.32
618 -6 14 15.23
619 -18 -10 20.59
620 -7 1 7.07
621 2 -4 4.47
622 32 -10 33.53
623 33 23 40.22
624 2 16 16.12
625 -48 22 52.80
626 18 -28 33.29
627 -14 -6 15.23
628 -32 -18 36.72
629 -12 -12 16.97
630 6 -38 38.47
631 28 -24 36.88
632 14 -14 19.80
633 -16 18 24.08
634 -11 1 11.05
635 17 9 19.24
636 12 0 12.00
637 -14 14 19.80
638 64 30 70.68
639 7 21 22.14
640 -12 -26 28.64
641 14 -10 17.20
642 47 -7 47.52
643 -7 5 8.60
644 -33 -43 54.20
645 6 32 32.56
646 -27 -3 27.17
647 19 23 29.83
648 -3 -3 4.24
649 27 13 29.97
650 15 29 32.65
651 -51 5 51.24
652 8 -34 34.93
653 -17 41 44.38
654 5 -17 17.72
655 -42 8 42.76
656 -5 39 39.32
657 2 -4 4.47
658 2 -40 40.05
659 6 20 20.88
660 15 -9 17.49
661 3 -19 19.24
662 22 -6 22.80
663 11 9 14.21
664 -19 31 36.36
665 16 -26 30.53
666 -34 22 40.50
667 18 0 18.00
668 10 30 31.62
669 8 2 8.25
670 18 -32 36.72
671 26 22 34.06
672 -48 26 54.59
673 -32 28 42.52
674 -2 12 12.17
675 11 3 11.40
676 3 -1 3.16
677 9 13 15.81
678 -4 4 5.66
679 -4 -46 46.17
680 -32 -6 32.56
681 -10 12 15.62
682 0 -18 18.00
683 -28 28 39.60
684 14 16 21.26
685 34 4 34.23
686 2 4 4.47
687 9 29 30.36
688 -22 2 22.09
689 24 12 26.83
690 -28 -16 32.25
691 -36 -26 44.41
692 4 6 7.21
693 -22 52 56.46
694 -10 -4 10.77
695 -6 0 6.00
696 1 41 41.01
697 -15 -21 25.81
698 -30 22 37.20
699 40 4 40.20
700 6 20 20.88
701 -12 4 12.65
702 -23 33 40.22
703 13 7 14.76
704 -45 -9 45.89
705 13 -11 17.03
706 27 11 29.15
707 -20 32 37.74
708 -23 5 23.54
709 -16 4 16.49
710 -21 -15 25.81
711 -12 6 13.42
712 6 -2 6.32
713 -11 29 31.02
714 34 8 34.93
715 13 9 15.81
716 -23 13 26.42
717 23 -35 41.88
718 -25 41 48.02
719 42 22 47.41
720 -30 -2 30.07
721 10 -6 11.66
722 -14 18 22.80
723 8 -16 17.89
724 25 -7 25.96
725 -34 -14 36.77
726 -23 5 23.54
727 4 18 18.44
728 -14 2 14.14
729 16 12 20.00
730 -5 23 23.54
731 -42 14 44.27
732 7 15 16.55
733 28 4 28.28
734 11 -1 11.05
735 23 41 47.01
736 16 8 17.89
737 33 -21 39.12
738 -13 7 14.76
739 11 7 13.04
740 -15 -1 15.03
741 2 -20 20.10
742 12 10 15.62
743 -6 -24 24.74
744 -7 7 9.90
745 1 27 27.02
746 -2 22 22.09
747 13 13 18.38
748 -13 -33 35.47
749 7 17 18.38
750 1 -15 15.03
751 -2 14 14.14
752 -4 12 12.65
753 -11 11 15.56
754 -3 39 39.12
755 -7 -37 37.66
756 4 -34 34.23
757 21 13 24.70
758 -24 8 25.30
759 -4 -38 38.21
760 3 -51 51.09
761 21 -17 27.02
762 -35 25 43.01
763 -18 -38 42.05
764 18 2 18.11
765 15 5 15.81
766 -3 -27 27.17
767 13 -1 13.04
768 21 -19 28.32
769 -31 13 33.62
770 -27 -25 36.80
771 -7 17 18.38
772 -3 -21 21.21
773 -1 5 5.10
774 -37 21 42.54
775 2 -20 20.10
776 -49 29 56.94
777 1 5 5.10
778 -17 -35 38.91
779 32 6 32.56
780 -22 12 25.06
781 -28 -20 34.41
782 37 15 39.92
783 -43 -29 51.87
784 -7 43 43.57
785 -16 16 22.63
786 55 3 55.08
787 30 8 31.05
788 32 32 45.25
789 26 2 26.08
790 27 7 27.89
791 -12 -22 25.06
792 -8 -2 8.25
793 1 25 25.02
794 13 25 28.18
795 6 -44 44.41
796 6 30 30.59
797 21 -13 24.70
798 11 -13 17.03
799 -12 2 12.17
800 5 -23 23.54
801 -52 4 52.15
802 9 27 28.46
803 21 13 24.70
804 1 37 37.01
805 -3 25 25.18
806 -29 1 29.02
807 7 -37 37.66
808 -7 41 41.59
809 52 44 68.12
810 10 -16 18.87
811 -46 14 48.08
812 -22 24 32.56
813 -23 -9 24.70
814 -8 20 21.54
815 -11 27 29.15
816 -11 -5 12.08
817 -24 -10 26.00
818 22 14 26.08
819 23 -17 28.60
820 38 6 38.47
821 40 18 43.86
822 -12 2 12.17
823 9 1 9.06
824 -23 -69 72.73
825 13 -25 28.18
826 29 -3 29.15
827 -47 33 57.43
828 -36 16 39.40
829 1 5 5.10
830 -2 -10 10.20
831 49 -17 51.87
832 6 -12 13.42
833 -3 15 15.30
834 -35 5 35.36
835 -14 -20 24.41
836 44 -16 46.82
837 -19 -11 21.95
838 -35 -15 38.08
839 -8 10 12.81
840 12 14 18.44
841 39 -49 62.63
842 -16 32 35.78
843 29 45 53.54
844 17 -39 42.54
845 7 -3 7.62
846 13 7 14.76
847 -8 -10 12.81
848 13 7 14.76
849 -35 5 35.36
850 -24 2 24.08
851 -25 -39 46.32
852 -6 0 6.00
853 24 -12 26.83
854 -24 0 24.00
855 -15 -15 21.21
856 -1 -13 13.04
857 -12 4 12.65
858 -14 48 50.00
859 27 -33 42.64
860 6 -18 18.97
861 15 -11 18.60
862 -5 11 12.08
863 16 16 22.63
864 -11 -31 32.89
865 34 54 63.81
866 13 -43 44.92
867 16 4 16.49
868 27 19 33.02
869 10 -26 27.86
870 3 -17 17.26
871 9 3 9.49
872 21 1 21.02
873 28 -16 32.25
874 17 -35 38.91
875 -16 34 37.58
876 19 15 24.21
877 6 -12 13.42
878 27 -9 28.46
879 -19 -15 24.21
880 33 -13 35.47
881 -17 -31 35.36
882 30 -14 33.11
883 14 -34 36.77
884 33 21 39.12
885 4 30 30.27
886 -10 12 15.62
887 -36 8 36.88
888 -1 -13 13.04
889 -5 -11 12.08
890 26 -22 34.06
891 26 -2 26.08
892 -16 -6 17.09
893 -20 6 20.88
894 -35 23 41.88
895 12 0 12.00
896 12 -44 45.61
897 -27 31 41.11
898 34 -22 40.50
899 -25 19 31.40
900 17 -37 40.72
901 -18 -18 25.46
902 -5 41 41.30
903 17 -3 17.26
904 8 -40 40.79
905 -3 47 47.10
906 6 20 20.88
907 -36 20 41.18
908 -13 25 28.18
909 1 19 19.03
910 17 7 18.38
911 21 1 21.02
912 -18 18 25.46
913 -27 19 33.02
914 -9 19 21.02
915 2 34 34.06
916 21 7 22.14
917 9 23 24.70
918 -7 21 22.14
919 -5 7 8.60
920 12 -12 16.97
921 38 -4 38.21
922 -7 -27 27.89
923 6 36 36.50
924 -12 32 34.18
925 23 -11 25.50
926 -17 -37 40.72
927 22 -10 24.17
928 -6 -12 13.42
929 -1 -3 3.16
930 23 -15 27.46
931 3 -11 11.40
932 30 10 31.62
933 -39 31 49.82
934 -14 42 44.27
935 27 -7 27.89
936 -4 6 7.21
937 42 -10 43.17
938 7 39 39.62
939 42 0 42.00
940 -1 33 33.02
941 27 21 34.21
942 0 32 32.00
943 -13 -13 18.38
944 13 17 21.40
945 8 4 8.94
946 -1 33 33.02
947 1 -27 27.02
948 48 18 51.26
949 35 9 36.14
950 47 27 54.20
951 9 -13 15.81
952 -29 3 29.15
953 -3 45 45.10
954 -15 9 17.49
955 -7 27 27.89
956 38 -8 38.83
957 -30 -10 31.62
958 31 -1 31.02
959 -43 -5 43.29
960 12 20 23.32
961 -14 8 16.12
962 12 -8 14.42
963 7 11 13.04
964 6 -8 10.00
965 13 -11 17.03
966 32 8 32.98
967 1 9 9.06
968 8 18 19.70
969 -14 -20 24.41
970 -3 23 23.19
971 -38 20 42.94
972 -40 6 40.45
973 -49 -11 50.22
974 -33 31 45.28
975 -21 9 22.85
976 3 -9 9.49
977 -2 -22 22.09
978 2 0 2.00
979 -10 -42 43.17
980 3 19 19.24
981 -15 31 34.44
982 -5 -5 7.07
983 37 1 37.01
984 17 -7 18.38
985 19 -23 29.83
986 14 12 18.44
987 -16 -32 35.78
988 -10 -16 18.87
989 17 -17 24.04
990 -3 -1 3.16
991 36 -36 50.91
992 22 20 29.73
993 17 -15 22.67
994 2 24 24.08
995 -9 -9 12.73
996 -15 -3 15.30
997 38 2 38.05
998 3 -21 21.21
999 34 -30 45.34
1000 11 -13 17.03
